cluster_lvl2,year,yhat
0.0,1961,0.6429839369593525
0.0,1962,0.6504911254958776
0.0,1963,0.6579983140324028
0.0,1964,0.6655055041872227
0.0,1965,0.6730332620071604
0.0,1966,0.6805404521827814
0.0,1967,0.6880476403950666
0.0,1968,0.6955548286073521
0.0,1969,0.7030825861325342
0.0,1970,0.7105897750782446
0.0,1971,0.7180969640239552
0.0,1972,0.725604154005719
0.0,1973,0.7279427230200416
0.0,1974,0.7292538509670435
0.0,1975,0.7305669570805282
0.0,1976,0.7318800631940128
0.0,1977,0.7332034200700841
0.0,1978,0.7345231612169858
0.0,1979,0.7358522477549813
0.0,1980,0.7371983706962815
0.0,1981,0.7385481816456398
0.0,1982,0.7450619301192818
0.0,1983,0.7515756785929237
0.0,1984,0.7580984443301841
0.0,1985,0.7646390806585057
0.0,1986,0.7711631966993018
0.0,1987,0.7776889854828266
0.0,1988,0.7842147742663514
0.0,1989,0.7907626774886777
0.0,1990,0.7972926902650413
0.0,1991,0.8038229005930506
0.0,1992,0.8103546689625668
0.0,1993,0.81690433258789
0.0,1994,0.7737685574082237
0.0,1995,0.7823386765626513
0.0,1996,0.7909087957309544
0.0,1997,0.7995023946766281
0.0,1998,0.808072513843762
0.0,1999,0.8166426330082098
0.0,2000,0.634184438586329
0.0,2001,0.638481238064134
0.0,2002,0.6427662976480488
0.0,2003,0.6470513572319636
0.0,2004,0.6513364168105776
0.0,2005,0.6556332162784483
0.0,2006,0.6599182758570623
0.0,2007,0.6642033354356764
0.0,2008,0.6684883950142906
0.0,2009,0.6860823130543683
0.0,2010,0.697579527395658
0.0,2011,0.7082614096297972
0.0,2012,0.7189432918627743
0.0,2013,0.7296544395265268
0.0,2014,0.7403363217595038
0.0,2015,0.761670820794683
0.0,2016,0.7723819684584353
0.0,2017,0.7830638506914125
0.0,2018,0.7937457329243895
0.0,2019,0.8044276151573668
0.0,2020,0.8151387628211192
0.0,2021,0.8258206450540964
0.0,2022,0.8365025272870736
0.0,2023,0.8075937672965843
1.0,1961,0.3414879931258245
1.0,1962,0.3433057718046058
1.0,1963,0.34512355048338705
1.0,1964,0.346941329162323
1.0,1965,0.3487640880560161
1.0,1966,0.3459745616946778
1.0,1967,0.3143202820783849
1.0,1968,0.3171984449050516
1.0,1969,0.3200844931088423
1.0,1970,0.322962655935274
1.0,1971,0.3131800224916962
1.0,1972,0.299722000420465
1.0,1973,0.2833601046406108
1.0,1974,0.28171106839203364
1.0,1975,0.2838506727700187
1.0,1976,0.28599027714800374
1.0,1977,0.2881357434562832
1.0,1978,0.29027534783475856
1.0,1979,0.29241495221216485
1.0,1980,0.220578029016253
1.0,1981,0.2236843699921446
1.0,1982,0.2267823885623278
1.0,1983,0.229880407132511
1.0,1984,0.22672575012382634
1.0,1985,0.2332146042914376
1.0,1986,0.23968572934174395
1.0,1987,0.24615685438611049
1.0,1988,0.25262797943047693
1.0,1989,0.2591156092460763
1.0,1990,0.2655835368486914
